Fecha;Origen;Destino;Viajes
01-03-2020;Conchali;Cerro Navia;75
01-03-2020;Conchali;Conchali;3082
01-03-2020;Conchali;El Bosque;23
01-03-2020;Conchali;Estacion Central;860
01-03-2020;Conchali;Huechuraba;866
01-03-2020;Conchali;Independencia;1430
01-03-2020;Conchali;La Cisterna;224
01-03-2020;Conchali;La Florida;313
01-03-2020;Conchali;La Granja;27
01-03-2020;Conchali;La Pintana;21
01-03-2020;Conchali;La Reina;221
01-03-2020;Conchali;Las Condes;492
01-03-2020;Conchali;Lo Barnechea;46
01-03-2020;Conchali;Lo Espejo;31
01-03-2020;Conchali;Lo Prado;285
01-03-2020;Conchali;Macul;62
01-03-2020;Conchali;Maipu;144
01-03-2020;Conchali;Nunoa;387
01-03-2020;Conchali;Pedro Aguirre Cerda;65
01-03-2020;Conchali;Penalolen;122
01-03-2020;Conchali;Providencia;751
01-03-2020;Conchali;Pudahuel;191
01-03-2020;Conchali;Puente Alto;185
01-03-2020;Conchali;Quilicura;950
01-03-2020;Conchali;Quinta Normal;117
01-03-2020;Conchali;Recoleta;1825
01-03-2020;Conchali;Renca;203
01-03-2020;Conchali;San Bernardo;48
01-03-2020;Conchali;San Joaquin;71
01-03-2020;Conchali;San Miguel;240
01-03-2020;Conchali;San Ramon;40
01-03-2020;Conchali;Santiago;3477
01-03-2020;Conchali;Vitacura;123
01-03-2020;El Bosque;Cerrillos;69
01-03-2020;El Bosque;Cerro Navia;35
01-03-2020;El Bosque;Conchali;69
01-03-2020;El Bosque;El Bosque;1789
01-03-2020;El Bosque;Estacion Central;1465
01-03-2020;El Bosque;Huechuraba;38
01-03-2020;El Bosque;Independencia;70
01-03-2020;El Bosque;La Cisterna;1498
01-03-2020;El Bosque;La Florida;675
01-03-2020;El Bosque;La Granja;55
01-03-2020;El Bosque;La Pintana;515
01-03-2020;El Bosque;La Reina;113
01-03-2020;El Bosque;Las Condes;366
01-03-2020;El Bosque;Lo Barnechea;42
01-03-2020;El Bosque;Lo Espejo;176
01-03-2020;El Bosque;Lo Prado;128
01-03-2020;El Bosque;Macul;62
01-03-2020;El Bosque;Maipu;94
01-03-2020;El Bosque;Nunoa;228
01-03-2020;El Bosque;Pedro Aguirre Cerda;282
01-03-2020;El Bosque;Penalolen;112
01-03-2020;El Bosque;Providencia;579
01-03-2020;El Bosque;Pudahuel;52
01-03-2020;El Bosque;Puente Alto;208
01-03-2020;El Bosque;Quilicura;57
01-03-2020;El Bosque;Quinta Normal;39
01-03-2020;El Bosque;Recoleta;214
01-03-2020;El Bosque;Renca;20
01-03-2020;El Bosque;San Bernardo;1683
01-03-2020;El Bosque;San Joaquin;61
01-03-2020;El Bosque;San Miguel;414
01-03-2020;El Bosque;San Ramon;92
01-03-2020;El Bosque;Santiago;1527
01-03-2020;El Bosque;Vitacura;43
01-03-2020;Estacion Central;Cerrillos;939
01-03-2020;Estacion Central;Cerro Navia;909
01-03-2020;Estacion Central;Conchali;757
01-03-2020;Estacion Central;El Bosque;1086
01-03-2020;Estacion Central;Estacion Central;17877
01-03-2020;Estacion Central;Huechuraba;174
01-03-2020;Estacion Central;Independencia;1079
01-03-2020;Estacion Central;La Cisterna;1442
01-03-2020;Estacion Central;La Florida;1805
01-03-2020;Estacion Central;La Granja;105
01-03-2020;Estacion Central;La Pintana;225
01-03-2020;Estacion Central;La Reina;779
01-03-2020;Estacion Central;Las Condes;3809
01-03-2020;Estacion Central;Lo Barnechea;339
01-03-2020;Estacion Central;Lo Espejo;1138
01-03-2020;Estacion Central;Lo Prado;4735
01-03-2020;Estacion Central;Macul;370
01-03-2020;Estacion Central;Maipu;4250
01-03-2020;Estacion Central;Nunoa;2078
01-03-2020;Estacion Central;Pedro Aguirre Cerda;1496
01-03-2020;Estacion Central;Penalolen;974
01-03-2020;Estacion Central;Providencia;5127
01-03-2020;Estacion Central;Pudahuel;1958
01-03-2020;Estacion Central;Puente Alto;1046
01-03-2020;Estacion Central;Quilicura;838
01-03-2020;Estacion Central;Quinta Normal;989
01-03-2020;Estacion Central;Recoleta;2637
01-03-2020;Estacion Central;Renca;379
01-03-2020;Estacion Central;San Bernardo;3454
01-03-2020;Estacion Central;San Joaquin;422
01-03-2020;Estacion Central;San Miguel;1369
01-03-2020;Estacion Central;San Ramon;434
01-03-2020;Estacion Central;Santiago;20356
01-03-2020;Estacion Central;Vitacura;346
01-03-2020;Estacion Central;La Pintana ;2
01-03-2020;Huechuraba;Cerrillos;18
01-03-2020;Huechuraba;Cerro Navia;21
01-03-2020;Huechuraba;Conchali;681
01-03-2020;Huechuraba;El Bosque;24
01-03-2020;Huechuraba;Estacion Central;309
01-03-2020;Huechuraba;Huechuraba;1620
01-03-2020;Huechuraba;Independencia;312
01-03-2020;Huechuraba;La Cisterna;103
01-03-2020;Huechuraba;La Florida;92
01-03-2020;Huechuraba;La Granja;3
01-03-2020;Huechuraba;La Pintana;31
01-03-2020;Huechuraba;La Reina;35
01-03-2020;Huechuraba;Las Condes;193
01-03-2020;Huechuraba;Lo Barnechea;29
01-03-2020;Huechuraba;Lo Espejo;15
01-03-2020;Huechuraba;Lo Prado;109
01-03-2020;Huechuraba;Macul;43
01-03-2020;Huechuraba;Maipu;56
01-03-2020;Huechuraba;Nunoa;100
01-03-2020;Huechuraba;Pedro Aguirre Cerda;31
01-03-2020;Huechuraba;Penalolen;29
01-03-2020;Huechuraba;Providencia;274
01-03-2020;Huechuraba;Pudahuel;58
01-03-2020;Huechuraba;Puente Alto;68
01-03-2020;Huechuraba;Quilicura;1729
01-03-2020;Huechuraba;Quinta Normal;58
01-03-2020;Huechuraba;Recoleta;997
01-03-2020;Huechuraba;Renca;49
01-03-2020;Huechuraba;San Bernardo;20
01-03-2020;Huechuraba;San Joaquin;17
01-03-2020;Huechuraba;San Miguel;83
01-03-2020;Huechuraba;San Ramon;15
01-03-2020;Huechuraba;Santiago;1022
01-03-2020;Huechuraba;Vitacura;62
01-03-2020;Independencia;Cerrillos;75
01-03-2020;Independencia;Cerro Navia;57
01-03-2020;Independencia;Conchali;1201
01-03-2020;Independencia;El Bosque;40
01-03-2020;Independencia;Estacion Central;1083
01-03-2020;Independencia;Huechuraba;222
01-03-2020;Independencia;Independencia;2145
01-03-2020;Independencia;La Cisterna;301
01-03-2020;Independencia;La Florida;460
01-03-2020;Independencia;La Granja;22
01-03-2020;Independencia;La Pintana;33
01-03-2020;Independencia;La Reina;356
01-03-2020;Independencia;Las Condes;996
01-03-2020;Independencia;Lo Barnechea;92
01-03-2020;Independencia;Lo Espejo;38
01-03-2020;Independencia;Lo Prado;438
01-03-2020;Independencia;Macul;148
01-03-2020;Independencia;Maipu;192
01-03-2020;Independencia;Nunoa;795
01-03-2020;Independencia;Pedro Aguirre Cerda;98
01-03-2020;Independencia;Penalolen;208
01-03-2020;Independencia;Providencia;1083
01-03-2020;Independencia;Pudahuel;201
01-03-2020;Independencia;Puente Alto;283
01-03-2020;Independencia;Quilicura;907
01-03-2020;Independencia;Quinta Normal;145
01-03-2020;Independencia;Recoleta;864
01-03-2020;Independencia;Renca;460
01-03-2020;Independencia;San Bernardo;110
01-03-2020;Independencia;San Joaquin;100
01-03-2020;Independencia;San Miguel;322
01-03-2020;Independencia;San Ramon;28
01-03-2020;Independencia;Santiago;4728
01-03-2020;Independencia;Vitacura;137
01-03-2020;La Cisterna;Cerrillos;184
01-03-2020;La Cisterna;Cerro Navia;44
01-03-2020;La Cisterna;Conchali;215
01-03-2020;La Cisterna;El Bosque;1076
01-03-2020;La Cisterna;Estacion Central;1357
01-03-2020;La Cisterna;Huechuraba;86
01-03-2020;La Cisterna;Independencia;291
01-03-2020;La Cisterna;La Cisterna;4061
01-03-2020;La Cisterna;La Florida;2074
01-03-2020;La Cisterna;La Granja;261
01-03-2020;La Cisterna;La Pintana;580
01-03-2020;La Cisterna;La Reina;329
01-03-2020;La Cisterna;Las Condes;785
01-03-2020;La Cisterna;Lo Barnechea;56
01-03-2020;La Cisterna;Lo Espejo;529
01-03-2020;La Cisterna;Lo Prado;447
01-03-2020;La Cisterna;Macul;124
01-03-2020;La Cisterna;Maipu;271
01-03-2020;La Cisterna;Nunoa;532
01-03-2020;La Cisterna;Pedro Aguirre Cerda;625
01-03-2020;La Cisterna;Penalolen;344
01-03-2020;La Cisterna;Providencia;1201
01-03-2020;La Cisterna;Pudahuel;229
01-03-2020;La Cisterna;Puente Alto;579
01-03-2020;La Cisterna;Quilicura;188
01-03-2020;La Cisterna;Quinta Normal;133
01-03-2020;La Cisterna;Recoleta;1115
01-03-2020;La Cisterna;Renca;40
01-03-2020;La Cisterna;San Bernardo;405
01-03-2020;La Cisterna;San Joaquin;156
01-03-2020;La Cisterna;San Miguel;2126
01-03-2020;La Cisterna;San Ramon;1041
01-03-2020;La Cisterna;Santiago;5325
01-03-2020;La Cisterna;Vitacura;59
01-03-2020;La Florida;Cerrillos;197
01-03-2020;La Florida;Cerro Navia;111
01-03-2020;La Florida;Conchali;269
01-03-2020;La Florida;El Bosque;293
01-03-2020;La Florida;Estacion Central;1426
01-03-2020;La Florida;Huechuraba;60
01-03-2020;La Florida;Independencia;443
01-03-2020;La Florida;La Cisterna;1822
01-03-2020;La Florida;La Florida;20762
01-03-2020;La Florida;La Granja;1603
01-03-2020;La Florida;La Pintana;399
01-03-2020;La Florida;La Reina;1294
01-03-2020;La Florida;Las Condes;2061
01-03-2020;La Florida;Lo Barnechea;151
01-03-2020;La Florida;Lo Espejo;137
01-03-2020;La Florida;Lo Prado;741
01-03-2020;La Florida;Macul;2857
01-03-2020;La Florida;Maipu;382
01-03-2020;La Florida;Nunoa;2097
01-03-2020;La Florida;Pedro Aguirre Cerda;291
01-03-2020;La Florida;Penalolen;1991
01-03-2020;La Florida;Providencia;4170
01-03-2020;La Florida;Pudahuel;576
01-03-2020;La Florida;Puente Alto;6801
01-03-2020;La Florida;Quilicura;296
01-03-2020;La Florida;Quinta Normal;433
01-03-2020;La Florida;Recoleta;790
01-03-2020;La Florida;Renca;91
01-03-2020;La Florida;San Bernardo;213
01-03-2020;La Florida;San Joaquin;1358
01-03-2020;La Florida;San Miguel;768
01-03-2020;La Florida;San Ramon;1301
01-03-2020;La Florida;Santiago;6867
01-03-2020;La Florida;Vitacura;199
01-03-2020;La Granja;Cerrillos;54
01-03-2020;La Granja;Cerro Navia;21
01-03-2020;La Granja;Conchali;47
01-03-2020;La Granja;El Bosque;96
01-03-2020;La Granja;Estacion Central;248
01-03-2020;La Granja;Huechuraba;23
01-03-2020;La Granja;Independencia;27
01-03-2020;La Granja;La Cisterna;424
01-03-2020;La Granja;La Florida;1632
01-03-2020;La Granja;La Granja;971
01-03-2020;La Granja;La Pintana;93
01-03-2020;La Granja;La Reina;171
01-03-2020;La Granja;Las Condes;329
01-03-2020;La Granja;Lo Barnechea;66
01-03-2020;La Granja;Lo Espejo;40
01-03-2020;La Granja;Lo Prado;82
01-03-2020;La Granja;Macul;79
01-03-2020;La Granja;Maipu;86
01-03-2020;La Granja;Nunoa;151
01-03-2020;La Granja;Pedro Aguirre Cerda;57
01-03-2020;La Granja;Penalolen;121
01-03-2020;La Granja;Providencia;344
01-03-2020;La Granja;Pudahuel;37
01-03-2020;La Granja;Puente Alto;403
01-03-2020;La Granja;Quilicura;60
01-03-2020;La Granja;Quinta Normal;46
01-03-2020;La Granja;Recoleta;165
01-03-2020;La Granja;Renca;3
01-03-2020;La Granja;San Bernardo;102
01-03-2020;La Granja;San Joaquin;269
01-03-2020;La Granja;San Miguel;152
01-03-2020;La Granja;San Ramon;312
01-03-2020;La Granja;Santiago;1198
01-03-2020;La Granja;Vitacura;61
01-03-2020;La Pintana;Cerrillos;41
01-03-2020;La Pintana;Cerro Navia;32
01-03-2020;La Pintana;Conchali;15
01-03-2020;La Pintana;El Bosque;584
01-03-2020;La Pintana;Estacion Central;396
01-03-2020;La Pintana;Huechuraba;44
01-03-2020;La Pintana;Independencia;48
01-03-2020;La Pintana;La Cisterna;891
01-03-2020;La Pintana;La Florida;1057
01-03-2020;La Pintana;La Granja;407
01-03-2020;La Pintana;La Pintana;1386
01-03-2020;La Pintana;La Reina;215
01-03-2020;La Pintana;Las Condes;413
01-03-2020;La Pintana;Lo Barnechea;36
01-03-2020;La Pintana;Lo Espejo;71
01-03-2020;La Pintana;Lo Prado;67
01-03-2020;La Pintana;Macul;88
01-03-2020;La Pintana;Maipu;90
01-03-2020;La Pintana;Nunoa;169
01-03-2020;La Pintana;Pedro Aguirre Cerda;92
01-03-2020;La Pintana;Penalolen;135
01-03-2020;La Pintana;Providencia;397
01-03-2020;La Pintana;Pudahuel;48
01-03-2020;La Pintana;Puente Alto;613
01-03-2020;La Pintana;Quilicura;66
01-03-2020;La Pintana;Quinta Normal;30
01-03-2020;La Pintana;Recoleta;232
01-03-2020;La Pintana;Renca;22
01-03-2020;La Pintana;San Bernardo;190
01-03-2020;La Pintana;San Joaquin;150
01-03-2020;La Pintana;San Miguel;216
01-03-2020;La Pintana;San Ramon;184
01-03-2020;La Pintana;Santiago;1164
01-03-2020;La Pintana;Vitacura;112
01-03-2020;La Reina;Cerrillos;98
01-03-2020;La Reina;Cerro Navia;41
01-03-2020;La Reina;Conchali;196
01-03-2020;La Reina;El Bosque;46
01-03-2020;La Reina;Estacion Central;646
01-03-2020;La Reina;Huechuraba;61
01-03-2020;La Reina;Independencia;336
01-03-2020;La Reina;La Cisterna;249
01-03-2020;La Reina;La Florida;975
01-03-2020;La Reina;La Granja;50
01-03-2020;La Reina;La Pintana;55
01-03-2020;La Reina;La Reina;1986
01-03-2020;La Reina;Las Condes;1160
01-03-2020;La Reina;Lo Barnechea;56
01-03-2020;La Reina;Lo Espejo;37
01-03-2020;La Reina;Lo Prado;375
01-03-2020;La Reina;Macul;215
01-03-2020;La Reina;Maipu;161
01-03-2020;La Reina;Nunoa;3865
01-03-2020;La Reina;Pedro Aguirre Cerda;111
01-03-2020;La Reina;Penalolen;1120
01-03-2020;La Reina;Providencia;1415
01-03-2020;La Reina;Pudahuel;116
01-03-2020;La Reina;Puente Alto;993
01-03-2020;La Reina;Quilicura;194
01-03-2020;La Reina;Quinta Normal;134
01-03-2020;La Reina;Recoleta;219
01-03-2020;La Reina;Renca;33
01-03-2020;La Reina;San Bernardo;63
01-03-2020;La Reina;San Joaquin;100
01-03-2020;La Reina;San Miguel;271
01-03-2020;La Reina;San Ramon;118
01-03-2020;La Reina;Santiago;2935
01-03-2020;La Reina;Vitacura;64
01-03-2020;Las Condes;Cerrillos;270
01-03-2020;Las Condes;Cerro Navia;258
01-03-2020;Las Condes;Conchali;341
01-03-2020;Las Condes;El Bosque;163
01-03-2020;Las Condes;Estacion Central;3109
01-03-2020;Las Condes;Huechuraba;507
01-03-2020;Las Condes;Independencia;789
01-03-2020;Las Condes;La Cisterna;768
01-03-2020;Las Condes;La Florida;1923
01-03-2020;Las Condes;La Granja;124
01-03-2020;Las Condes;La Pintana;215
01-03-2020;Las Condes;La Reina;968
01-03-2020;Las Condes;Las Condes;11445
01-03-2020;Las Condes;Lo Barnechea;1290
01-03-2020;Las Condes;Lo Espejo;122
01-03-2020;Las Condes;Lo Prado;1690
01-03-2020;Las Condes;Macul;450
01-03-2020;Las Condes;Maipu;835
01-03-2020;Las Condes;Nunoa;2038
01-03-2020;Las Condes;Pedro Aguirre Cerda;459
01-03-2020;Las Condes;Penalolen;1115
01-03-2020;Las Condes;Providencia;5360
01-03-2020;Las Condes;Pudahuel;606
01-03-2020;Las Condes;Puente Alto;1709
01-03-2020;Las Condes;Quilicura;488
01-03-2020;Las Condes;Quinta Normal;512
01-03-2020;Las Condes;Recoleta;829
01-03-2020;Las Condes;Renca;139
01-03-2020;Las Condes;San Bernardo;330
01-03-2020;Las Condes;San Joaquin;293
01-03-2020;Las Condes;San Miguel;1008
01-03-2020;Las Condes;San Ramon;310
01-03-2020;Las Condes;Santiago;9058
01-03-2020;Las Condes;Vitacura;528
01-03-2020;Lo Barnechea;Cerrillos;35
01-03-2020;Lo Barnechea;Cerro Navia;59
01-03-2020;Lo Barnechea;Conchali;55
01-03-2020;Lo Barnechea;El Bosque;26
01-03-2020;Lo Barnechea;Estacion Central;411
01-03-2020;Lo Barnechea;Huechuraba;73
01-03-2020;Lo Barnechea;Independencia;109
01-03-2020;Lo Barnechea;La Cisterna;89
01-03-2020;Lo Barnechea;La Florida;215
01-03-2020;Lo Barnechea;La Granja;20
01-03-2020;Lo Barnechea;La Pintana;37
01-03-2020;Lo Barnechea;La Reina;56
01-03-2020;Lo Barnechea;Las Condes;1334
01-03-2020;Lo Barnechea;Lo Barnechea;1115
01-03-2020;Lo Barnechea;Lo Espejo;28
01-03-2020;Lo Barnechea;Lo Prado;165
01-03-2020;Lo Barnechea;Macul;57
01-03-2020;Lo Barnechea;Maipu;82
01-03-2020;Lo Barnechea;Nunoa;178
01-03-2020;Lo Barnechea;Pedro Aguirre Cerda;46
01-03-2020;Lo Barnechea;Penalolen;159
01-03-2020;Lo Barnechea;Providencia;446
01-03-2020;Lo Barnechea;Pudahuel;107
01-03-2020;Lo Barnechea;Puente Alto;196
01-03-2020;Lo Barnechea;Quilicura;75
01-03-2020;Lo Barnechea;Quinta Normal;105
01-03-2020;Lo Barnechea;Recoleta;124
01-03-2020;Lo Barnechea;Renca;18
01-03-2020;Lo Barnechea;San Bernardo;44
01-03-2020;Lo Barnechea;San Joaquin;46
01-03-2020;Lo Barnechea;San Miguel;96
01-03-2020;Lo Barnechea;San Ramon;63
01-03-2020;Lo Barnechea;Santiago;1277
01-03-2020;Lo Barnechea;Vitacura;376
01-03-2020;Lo Espejo;Cerrillos;412
01-03-2020;Lo Espejo;Cerro Navia;36
01-03-2020;Lo Espejo;Conchali;41
01-03-2020;Lo Espejo;El Bosque;190
01-03-2020;Lo Espejo;Estacion Central;1071
01-03-2020;Lo Espejo;Huechuraba;16
01-03-2020;Lo Espejo;Independencia;49
01-03-2020;Lo Espejo;La Cisterna;1047
01-03-2020;Lo Espejo;La Florida;273
01-03-2020;Lo Espejo;La Granja;39
01-03-2020;Lo Espejo;La Pintana;77
01-03-2020;Lo Espejo;La Reina;78
01-03-2020;Lo Espejo;Las Condes;208
01-03-2020;Lo Espejo;Lo Barnechea;19
01-03-2020;Lo Espejo;Lo Espejo;1266
01-03-2020;Lo Espejo;Lo Prado;51
01-03-2020;Lo Espejo;Macul;33
01-03-2020;Lo Espejo;Maipu;354
01-03-2020;Lo Espejo;Nunoa;137
01-03-2020;Lo Espejo;Pedro Aguirre Cerda;746
01-03-2020;Lo Espejo;Penalolen;50
01-03-2020;Lo Espejo;Providencia;261
01-03-2020;Lo Espejo;Pudahuel;59
01-03-2020;Lo Espejo;Puente Alto;101
01-03-2020;Lo Espejo;Quilicura;46
01-03-2020;Lo Espejo;Quinta Normal;60
01-03-2020;Lo Espejo;Recoleta;186
01-03-2020;Lo Espejo;Renca;32
01-03-2020;Lo Espejo;San Bernardo;542
01-03-2020;Lo Espejo;San Joaquin;59
01-03-2020;Lo Espejo;San Miguel;336
01-03-2020;Lo Espejo;San Ramon;91
01-03-2020;Lo Espejo;Santiago;1334
01-03-2020;Lo Espejo;Vitacura;32
01-03-2020;Lo Prado;Cerrillos;174
01-03-2020;Lo Prado;Cerro Navia;856
01-03-2020;Lo Prado;Conchali;265
01-03-2020;Lo Prado;El Bosque;90
01-03-2020;Lo Prado;Estacion Central;4966
01-03-2020;Lo Prado;Huechuraba;50
01-03-2020;Lo Prado;Independencia;397
01-03-2020;Lo Prado;La Cisterna;511
01-03-2020;Lo Prado;La Florida;881
01-03-2020;Lo Prado;La Granja;24
01-03-2020;Lo Prado;La Pintana;57
01-03-2020;Lo Prado;La Reina;418
01-03-2020;Lo Prado;Las Condes;1877
01-03-2020;Lo Prado;Lo Barnechea;127
01-03-2020;Lo Prado;Lo Espejo;49
01-03-2020;Lo Prado;Lo Prado;6758
01-03-2020;Lo Prado;Macul;183
01-03-2020;Lo Prado;Maipu;2959
01-03-2020;Lo Prado;Nunoa;940
01-03-2020;Lo Prado;Pedro Aguirre Cerda;135
01-03-2020;Lo Prado;Penalolen;320
01-03-2020;Lo Prado;Providencia;3108
01-03-2020;Lo Prado;Pudahuel;2961
01-03-2020;Lo Prado;Puente Alto;506
01-03-2020;Lo Prado;Quilicura;235
01-03-2020;Lo Prado;Quinta Normal;860
01-03-2020;Lo Prado;Recoleta;981
01-03-2020;Lo Prado;Renca;241
01-03-2020;Lo Prado;San Bernardo;218
01-03-2020;Lo Prado;San Joaquin;172
01-03-2020;Lo Prado;San Miguel;509
01-03-2020;Lo Prado;San Ramon;138
01-03-2020;Lo Prado;Santiago;7061
01-03-2020;Lo Prado;Vitacura;178
01-03-2020;Macul;Cerrillos;91
01-03-2020;Macul;Cerro Navia;65
01-03-2020;Macul;Conchali;63
01-03-2020;Macul;El Bosque;20
01-03-2020;Macul;Estacion Central;421
01-03-2020;Macul;Huechuraba;18
01-03-2020;Macul;Independencia;161
01-03-2020;Macul;La Cisterna;112
01-03-2020;Macul;La Florida;1915
01-03-2020;Macul;La Granja;40
01-03-2020;Macul;La Pintana;77
01-03-2020;Macul;La Reina;196
01-03-2020;Macul;Las Condes;428
01-03-2020;Macul;Lo Barnechea;43
01-03-2020;Macul;Lo Espejo;34
01-03-2020;Macul;Lo Prado;206
01-03-2020;Macul;Macul;1777
01-03-2020;Macul;Maipu;181
01-03-2020;Macul;Nunoa;1613
01-03-2020;Macul;Pedro Aguirre Cerda;158
01-03-2020;Macul;Penalolen;628
01-03-2020;Macul;Providencia;1040
01-03-2020;Macul;Pudahuel;148
01-03-2020;Macul;Puente Alto;550
01-03-2020;Macul;Quilicura;88
01-03-2020;Macul;Quinta Normal;109
01-03-2020;Macul;Recoleta;184
01-03-2020;Macul;Renca;32
01-03-2020;Macul;San Bernardo;78
01-03-2020;Macul;San Joaquin;537
01-03-2020;Macul;San Miguel;230
01-03-2020;Macul;San Ramon;79
01-03-2020;Macul;Santiago;1975
01-03-2020;Macul;Vitacura;48
01-03-2020;Maipu;Cerrillos;2604
01-03-2020;Maipu;Cerro Navia;471
01-03-2020;Maipu;Conchali;182
01-03-2020;Maipu;El Bosque;87
01-03-2020;Maipu;Estacion Central;5405
01-03-2020;Maipu;Huechuraba;55
01-03-2020;Maipu;Independencia;264
01-03-2020;Maipu;La Cisterna;328
01-03-2020;Maipu;La Florida;608
01-03-2020;Maipu;La Granja;69
01-03-2020;Maipu;La Pintana;54
01-03-2020;Maipu;La Reina;248
01-03-2020;Maipu;Las Condes;1320
01-03-2020;Maipu;Lo Barnechea;79
01-03-2020;Maipu;Lo Espejo;426
01-03-2020;Maipu;Lo Prado;1275
01-03-2020;Maipu;Macul;182
01-03-2020;Maipu;Maipu;20238
01-03-2020;Maipu;Nunoa;855
01-03-2020;Maipu;Pedro Aguirre Cerda;246
01-03-2020;Maipu;Penalolen;240
01-03-2020;Maipu;Providencia;1916
01-03-2020;Maipu;Pudahuel;1464
01-03-2020;Maipu;Puente Alto;219
01-03-2020;Maipu;Quilicura;279
01-03-2020;Maipu;Quinta Normal;430
01-03-2020;Maipu;Recoleta;623
01-03-2020;Maipu;Renca;313
01-03-2020;Maipu;San Bernardo;264
01-03-2020;Maipu;San Joaquin;163
01-03-2020;Maipu;San Miguel;392
01-03-2020;Maipu;San Ramon;90
01-03-2020;Maipu;Santiago;5187
01-03-2020;Maipu;Vitacura;152
01-03-2020;Nunoa;Cerrillos;297
01-03-2020;Nunoa;Cerro Navia;155
01-03-2020;Nunoa;Conchali;304
01-03-2020;Nunoa;El Bosque;100
01-03-2020;Nunoa;Estacion Central;1485
01-03-2020;Nunoa;Huechuraba;68
01-03-2020;Nunoa;Independencia;698
01-03-2020;Nunoa;La Cisterna;396
01-03-2020;Nunoa;La Florida;2370
01-03-2020;Nunoa;La Granja;84
01-03-2020;Nunoa;La Pintana;150
01-03-2020;Nunoa;La Reina;2094
01-03-2020;Nunoa;Las Condes;1750
01-03-2020;Nunoa;Lo Barnechea;112
01-03-2020;Nunoa;Lo Espejo;84
01-03-2020;Nunoa;Lo Prado;713
01-03-2020;Nunoa;Macul;1697
01-03-2020;Nunoa;Maipu;601
01-03-2020;Nunoa;Nunoa;9659
01-03-2020;Nunoa;Pedro Aguirre Cerda;283
01-03-2020;Nunoa;Penalolen;3091
01-03-2020;Nunoa;Providencia;4052
01-03-2020;Nunoa;Pudahuel;379
01-03-2020;Nunoa;Puente Alto;1348
01-03-2020;Nunoa;Quilicura;359
01-03-2020;Nunoa;Quinta Normal;418
